rank;title
1;Stanford University
2;Massachusetts Institute of Technology (MIT)
3;University of California-Berkeley
4;Harvard University
5;Princeton University
6;The University of Texas at Austin
7;Carnegie Mellon University
8;Cornell University
9;University of California, Los Angeles
10;University of Toronto
11;University of California, San Diego
11;University of Southern California
13;California Institute of Technology
14;University of Illinois at Urbana-Champaign
15;Swiss Federal Institute of Technology Zurich
16;University of Michigan-Ann Arbor
17;University of Maryland, College Park
18;Technion-Israel Institute of Technology
19;Georgia Institute of Technology
20;Tel Aviv University
21;Purdue University - West Lafayette
22;National Taiwan University
22;The Ohio State University - Columbus
24;University of California, Davis
25;University of Oxford
26;University of Cambridge
27;Tsinghua University
28;Nanyang Technological University
29;University of California, Irvine
30;Technical University Munich
31;University of North Carolina at Chapel Hill
32;The Hong Kong University of Science and Technology
33;Arizona State University
34;New York University
34;Swiss Federal Institute of Technology Lausanne
36;University of Minnesota, Twin Cities
37;City University of Hong Kong
37;Northwestern University
39;The Chinese University of Hong Kong
40;University College London
41;University of British Columbia
42;Columbia University
43;University of Granada
44;Rutgers, The State University of New Jersey - New Brunswick
45;National University of Singapore
46;University of Washington
47;KU Leuven
47;Zhejiang University
49;Simon Fraser University
49;University of Copenhagen
51;Duke University
51;Eindhoven University of Technology
51;King Abdulaziz University
51;Michigan State University
51;National Chiao Tung University
51;Peking University
51;Pennsylvania State University - University Park
51;Rice University
51;Shanghai Jiao Tong University
51;Texas A & M University
51;The Hebrew University of Jerusalem
51;The Hong Kong Polytechnic University
51;The Imperial College of Science, Technology and Medicine
51;The University of Edinburgh
51;University of Alberta
51;University of Bristol
51;University of California, Santa Barbara
51;University of Colorado at Boulder
51;University of Houston
51;University of Massachusetts Amherst
51;University of Utah
51;University of Wisconsin - Madison
51;Weizmann Institute of Science
51;Xian Jiao Tong University
51;Yale University
101;Boston University
101;Brown University
101;Ecole Normale Superieure - Paris
101;Ghent University
101;Harbin Institute of Technology
101;Huazhong University of Science and Technology
101;Korea Advanced Institute of Science and Technology
101;McGill University
101;New Jersey Institute of Technology
101;Stony Brook University
101;The Johns Hopkins University
101;The University of Hong Kong
101;The University of Manchester
101;The University of Tokyo
101;University of Amsterdam
101;University of Bonn
101;University of Florida
101;University of Jaen
101;University of Montreal
101;University of Nebraska - Lincoln
101;University of Oslo
101;University of Pennsylvania
101;University of Waterloo
101;Vienna University of Technology
101;Xidian University
151;Beihang University
151;Ben-Gurion University of the Negev
151;Dalian University of Technology
151;Delft University of Technology
151;Hong Kong Baptist University
151;Indian Institute of Science
151;Indian Statistical Institute
151;Indiana University Bloomington
151;King's College London
151;Korea University
151;Leiden University
151;Monash University
151;Nanjing University
151;National Cheng Kung University
151;National Taiwan University of Science and Technology
151;National University of Defense Technology
151;North Carolina State University - Raleigh
151;Polytechnic University of Catalonia
151;Polytechnic University of Madrid
151;Polytechnic University of Turin
151;Seoul National University
151;Southeast University
151;Sun Yat-sen University
151;Technical University of Denmark
151;The Australian National University
151;The University of Adelaide
151;The University of Melbourne
151;The University of New South Wales
151;Tongji University
151;University of Bordeaux
151;University of Campinas
151;University of Delaware
151;University of Electronic Science and Technology of China
151;University of Essex
151;University of Illinois at Chicago
151;University of Roma - La Sapienza
151;University of Sao Paulo
151;University of Science and Technology of China
151;University of Southampton
151;University of Stuttgart
151;University of Surrey
151;University of Technology, Sydney
151;University of Tennessee - Knoxville
151;University of Virginia
151;University of Warwick
151;Utrecht University
151;Vanderbilt University
151;Virginia Polytechnic Institute and State University
151;VU University Amsterdam
151;Wuhan University
201;Amirkabir University of Technology
201;Autonomous University of Barcelona
201;Bar-Ilan University
201;Carlos III University of Madrid
201;Clemson University
201;Colorado State University
201;Ecole Polytechnique
201;Iowa State University
201;King Saud University
201;National and Kapodistrian University of Athens
201;National Central University
201;National Sun Yat-Sen University
201;National Technical University of Athens
201;National Tsing Hua University
201;Northeastern University (China)
201;Northwestern Polytechnical University
201;Oregon State University
201;Pierre and Marie Curie University - Paris 6
201;Polytechnic Institute of Milan
201;Polytechnic University of Valencia
201;Rensselaer Polytechnic Institute
201;Royal Institute of Technology
201;RWTH Aachen University
201;Sharif University of Technology
201;Southwest Jiaotong University
201;State University of New York at Buffalo
201;Swansea University
201;The University of Calgary
201;The University of Queensland
201;The University of Sheffield
201;The University of Texas at Dallas
201;University of Antwerp
201;University of Arizona
201;University of Bergen
201;University of Birmingham
201;University of Groningen
201;University of Iowa
201;University of Leeds
201;University of Lisbon
201;University of Paris Sud (Paris 11)
201;University of Pittsburgh-Pittsburgh Campus
201;University of Pompeu Fabra
201;University of South Florida
201;University of Sydney
201;University of Tehran
201;University of Trento
201;University of Twente
201;University of Zaragoza
201;University Rovira i Virgili
201;Yonsei University