"country_tid";"rank_agriculture";"region_tid";"score_agriculture";"title"
257.0;1.0;213.0;98.2;"University of California, Davis"
187.0;2.0;140.0;95.5;"Wageningen University"
257.0;3.0;213.0;93.0;"Cornell University"
257.0;4.0;213.0;86.2;"University of Wisconsin-Madison"
257.0;5.0;213.0;83.6;"Iowa State University"
257.0;6.0;213.0;83.0;"University of California, Berkeley (UCB)"
257.0;7.0;213.0;82.9;"Oregon State University"
257.0;8.0;213.0;81.3;"Purdue University"
257.0;9.0;213.0;80.2;"Texas A&M University"
257.0;10.0;213.0;79.1;"Ohio State University"
257.0;11.0;213.0;77.8;"University of Massachusetts Amherst"
208.0;12.0;140.0;77.8;"University of Reading"
100.0;13.0;71.0;77.7;"The University of Tokyo"
257.0;14.0;213.0;77.4;"North Carolina State University"
205.0;15.0;140.0;77.0;"ETH Zurich - Swiss Federal Institute of Technology"
257.0;16.0;213.0;77.0;"Pennsylvania State University"
257.0;17.0;213.0;76.5;"University of Minnesota"
319.0;18.0;317.0;76.4;"The University of Queensland"
334.0;19.0;317.0;76.3;"Massey University"
319.0;20.0;317.0;75.8;"The Australian National University"
257.0;21.0;213.0;75.3;"Michigan State University"
353.0;22.0;349.0;75.2;"Universidade estadual de Campinas(Unicamp)"
257.0;23.0;213.0;75.0;"University of Florida"
222.0;24.0;213.0;74.9;"University of Guelph"
100.0;25.0;71.0;74.0;"Kyoto University"
257.0;26.0;213.0;73.0;"Colorado State University"
353.0;27.0;349.0;72.9;"Universidade de São Paulo (USP)"
257.0;28.0;213.0;72.5;"University of Illinois at Urbana-Champaign"
319.0;29.0;317.0;72.3;"The University of Adelaide"
158.0;30.0;140.0;72.0;"Agro, ParisTech"
152.0;31.0;140.0;71.7;"University of Copenhagen"
222.0;32.0;213.0;71.6;"McGill University"
143.0;33.0;140.0;71.3;"University of Natural Resources and Applied Life Sciences Vienna "
208.0;34.0;140.0;71.2;"The University of Nottingham"
257.0;35.0;213.0;70.8;"Yale University"
319.0;36.0;317.0;70.7;"The University of Melbourne"
222.0;37.0;213.0;70.6;"University of British Columbia"
257.0;38.0;213.0;70.4;"University of Missouri, Columbia (Mizzou)"
100.0;39.0;71.0;70.1;"Hokkaido University"
257.0;40.0;213.0;69.9;"University of Maryland, College Park"
100.0;41.0;71.0;69.2;"Nagoya University"
203.0;42.0;140.0;69.2;"Swedish University of Agricultural Sciences "
87.0;43.0;71.0;68.8;"China Agricultural University "
146.0;44.0;140.0;68.6;"University of Ghent"
257.0;45.0;213.0;68.5;"Washington State University"
100.0;46.0;71.0;68.4;"Tohoku University"
257.0;47.0;213.0;68.1;"University of California, Riverside"
131.0;48.0;71.0;67.9;"Kasetsart University"
257.0;49.0;213.0;67.8;"The University of Georgia"
353.0;50.0;349.0;67.4;"Universidade Estadual Paulista 'Júlio de Mesquita Filho' (UNESP)"
152.0;51.0;140.0;0.0;"Aarhus University"
100.0;52.0;71.0;0.0;"Chiba University"
257.0;53.0;213.0;0.0;"Duke University"
162.0;54.0;140.0;0.0;"Georg-August-Universität Göttingen"
257.0;55.0;213.0;0.0;"Kansas State University "
106.0;56.0;71.0;0.0;"Korea University"
100.0;57.0;71.0;0.0;"Kyushu University"
222.0;58.0;213.0;0.0;"Laval University"
334.0;59.0;317.0;0.0;"Lincoln University "
257.0;60.0;213.0;0.0;"Louisiana State University (LSU)"
128.0;61.0;71.0;0.0;"National Taiwan University (NTU)"
208.0;62.0;140.0;0.0;"Newcastle University"
189.0;63.0;140.0;0.0;"Norwegian University of Life Sciences"
257.0;64.0;213.0;0.0;"Oklahoma State University "
199.0;65.0;140.0;0.0;"Politécnica de Madrid"
355.0;66.0;349.0;0.0;"Pontificia Universidad Católica de Chile (UC)"
257.0;67.0;213.0;0.0;"Rutgers, The State University of New Jersey, New Brunswick"
106.0;68.0;71.0;0.0;"Seoul National University"
162.0;69.0;140.0;0.0;"Technische Universität Berlin"
162.0;70.0;140.0;0.0;"Technische Universität München"
319.0;71.0;317.0;0.0;"The University of Sydney"
319.0;72.0;317.0;0.0;"The University of Western Australia"
100.0;73.0;71.0;0.0;"Tokyo University of Agriculture and Technology "
199.0;74.0;140.0;0.0;"University Complutense Madrid"
350.0;75.0;349.0;0.0;"Universidad de Buenos Aires"
355.0;76.0;349.0;0.0;"Universidad de Chile"
199.0;77.0;140.0;0.0;"Universitat Politècnica de València"
353.0;78.0;349.0;0.0;"Universidade Federal de Minas Gerais   "
353.0;79.0;349.0;0.0;"Universidade Federal de Viçosa"
353.0;80.0;349.0;0.0;"Universidade Federal do Rio Grande Do Sul"
174.0;81.0;140.0;0.0;"University of Bologna"
199.0;82.0;140.0;0.0;"Universitat Autònoma de Barcelona"
199.0;83.0;140.0;0.0;"University of Barcelona"
162.0;84.0;140.0;0.0;"Universität Hohenheim"
146.0;85.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
113.0;86.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
171.0;87.0;140.0;0.0;"University College Dublin"
208.0;88.0;140.0;0.0;"University of Aberdeen"
222.0;89.0;213.0;0.0;"University of Alberta"
257.0;90.0;213.0;0.0;"University of Arizona"
156.0;91.0;140.0;0.0;"University of Eastern Finland"
156.0;92.0;140.0;0.0;"University of Helsinki"
257.0;93.0;213.0;0.0;"University of Kentucky"
222.0;94.0;213.0;0.0;"University of Manitoba"
257.0;95.0;213.0;0.0;"University of Montana Missoula "
257.0;96.0;213.0;0.0;"University of Nebraska - Lincoln"
54.0;97.0;6.0;0.0;"University of Pretoria"
222.0;98.0;213.0;0.0;"University of Saskatchewan"
222.0;99.0;213.0;0.0;"University of Toronto"
257.0;100.0;213.0;0.0;"University of Washington"
257.0;101.0;213.0;0.0;"Virginia Tech"
87.0;102.0;71.0;0.0;"Zhejiang University"
208.0;103.0;140.0;0.0;"Aberystwyth University"
257.0;104.0;213.0;0.0;"Auburn University"
87.0;105.0;71.0;0.0;"Beijing Forestry University"
131.0;106.0;71.0;0.0;"Chiang Mai University"
162.0;107.0;140.0;0.0;"Christian-Albrechts-Universität zu Kiel"
74.0;108.0;71.0;0.0;"The Hebrew University of Jerusalem"
162.0;109.0;140.0;0.0;"Humboldt-Universität zu Berlin"
319.0;110.0;317.0;0.0;"James Cook University"
162.0;111.0;140.0;0.0;"Justus-Liebig-Universität Gießen"
106.0;112.0;71.0;0.0;"Kyungpook National University"
87.0;113.0;71.0;0.0;"Nanjing Agricultural University"
87.0;114.0;71.0;0.0;"Nanjing University"
131.0;115.0;71.0;0.0;"Prince of Songkla University"
208.0;116.0;140.0;0.0;"Queen's University of Belfast"
162.0;117.0;140.0;0.0;"Rheinische Friedrich-Wilhelms-Universität Bonn"
87.0;118.0;71.0;0.0;"Shanghai Jiao Tong University"
87.0;119.0;71.0;0.0;"South China Agricultural University"
54.0;120.0;6.0;0.0;"Stellenbosch University"
158.0;121.0;140.0;0.0;"Sup Agro, Montpellier"
257.0;122.0;213.0;0.0;"Tufts University"
199.0;123.0;140.0;0.0;"Universidad Autónoma de Madrid"
355.0;124.0;349.0;0.0;"Universidad de Concepción"
357.0;125.0;349.0;0.0;"Universidad Nacional de Colombia"
350.0;126.0;349.0;0.0;"Universidad Nacional de Córdoba"
350.0;127.0;349.0;0.0;"Universidad Nacional de La Plata"
353.0;128.0;349.0;0.0;"Universidade de Brasilia (UnB)"
353.0;129.0;349.0;0.0;"Universidade Federal de Lavras"
353.0;130.0;349.0;0.0;"Universidade Federal de São Carlos"
353.0;131.0;349.0;0.0;"Universidade Federal do Paraná (UFPR)"
174.0;133.0;140.0;0.0;"University of Turin"
199.0;134.0;140.0;0.0;"Universitat de Valencia"
162.0;135.0;140.0;0.0;"Universität Freiburg"
158.0;136.0;140.0;0.0;"Université de Strasbourg"
222.0;137.0;213.0;0.0;"Université du Québec"
158.0;138.0;140.0;0.0;"Université Montpellier 2, Sciences et Techniques du Languedoc"
120.0;139.0;71.0;0.0;"University of Agriculture, Faisalabad "
257.0;140.0;213.0;0.0;"University of Arkansas"
54.0;141.0;6.0;0.0;"University of Cape Town"
208.0;142.0;140.0;0.0;"The University of Exeter"
257.0;143.0;213.0;0.0;"University of Hawaii at Mañoa "
257.0;144.0;213.0;0.0;"University of Iowa"
120.0;145.0;71.0;0.0;"University of Karachi"
146.0;146.0;140.0;0.0;"Université de Liège"
319.0;147.0;317.0;0.0;"University of New England Australia"
257.0;148.0;213.0;0.0;"The University of Tennessee, Knoxville"
257.0;149.0;213.0;0.0;"University of Vermont"
257.0;150.0;213.0;0.0;"Utah State University "
158.0;151.0;140.0;0.0;"Agrocampus Ouest"
120.0;152.0;71.0;0.0;"Arid Agriculture University "
208.0;153.0;140.0;0.0;"Bangor University"
257.0;154.0;213.0;0.0;"Brigham Young University"
208.0;155.0;140.0;0.0;"Cranfield University"
222.0;156.0;213.0;0.0;"Dalhousie University"
154.0;157.0;140.0;0.0;"Estonian University of Life Sciences"
87.0;158.0;71.0;0.0;"Jilin University"
100.0;159.0;71.0;0.0;"Kobe University"
106.0;160.0;71.0;0.0;"Konkuk University "
106.0;161.0;71.0;0.0;"Kyung Hee University"
319.0;162.0;317.0;0.0;"La Trobe University"
222.0;163.0;213.0;0.0;"Memorial University of Newfoundland"
319.0;164.0;317.0;0.0;"Murdoch University"
128.0;165.0;71.0;0.0;"National Chung Hsing University"
171.0;166.0;140.0;0.0;"National University of Ireland, Galway"
100.0;167.0;71.0;0.0;"Niigata University"
100.0;168.0;71.0;0.0;"Okayama University"
120.0;169.0;71.0;0.0;"Quaid-i-azam University"
87.0;170.0;71.0;0.0;"South China University of Technology"
162.0;171.0;140.0;0.0;"Technische Universität Dresden"
355.0;172.0;349.0;0.0;"Universidad Austral de Chile"
241.0;173.0;213.0;0.0;"Universidad Autónoma Metropolitana (UAM)"
227.0;174.0;213.0;0.0;"Universidad de Costa Rica"
199.0;175.0;140.0;0.0;"Universidad de Sevilla"
199.0;176.0;140.0;0.0;"Universidad de Zaragoza"
350.0;177.0;349.0;0.0;"Universidad Nacional de Mar del Plata"
199.0;178.0;140.0;0.0;"Universidade de Santiago de Compostela"
353.0;179.0;349.0;0.0;"Universidade Estadual de Londrina (UEL)"
353.0;180.0;349.0;0.0;"Universidade Federal de Santa Catarina"
353.0;181.0;349.0;0.0;"Universidade Federal do Ceará (UFC)"
353.0;182.0;349.0;0.0;"Universidade Federal Rural do Rio de Janeiro"
174.0;183.0;140.0;0.0;"University of Florence"
174.0;184.0;140.0;0.0;"University of Naples - Federico Ii"
174.0;185.0;140.0;0.0;"University of Padua"
146.0;186.0;140.0;0.0;"Université Libre de Bruxelles (ULB)"
158.0;187.0;140.0;0.0;"Université Paris-Sud 11"
158.0;188.0;140.0;0.0;"Université Paul Sabatier Toulouse III"
174.0;189.0;140.0;0.0;"University of Bari (UNIBA)"
319.0;190.0;317.0;0.0;"University of Canberra "
257.0;191.0;213.0;0.0;"University of Kansas"
54.0;192.0;6.0;0.0;"University of Kwazulu-Natal"
191.0;193.0;140.0;0.0;"University of Lisbon "
191.0;194.0;140.0;0.0;"University of Porto"
208.0;195.0;140.0;0.0;"University of Stirling"
122.0;196.0;71.0;0.0;"University of the Philippines"
120.0;197.0;71.0;0.0;"University of the Punjab"
319.0;198.0;317.0;0.0;"University of Western Sydney "
87.0;199.0;71.0;0.0;"Wuhan University"
106.0;200.0;71.0;0.0;"Yonsei University"
