"country_tid";"rank_electrical";"region_tid";"score_electrical";"title"
257.0;1.0;213.0;98.4;"Massachusetts Institute of Technology (MIT) "
257.0;2.0;213.0;95.6;"Stanford University"
257.0;3.0;213.0;93.5;"University of California, Berkeley (UCB)"
208.0;4.0;140.0;93.0;"University of Cambridge"
205.0;5.0;140.0;91.5;"ETH Zurich - Swiss Federal Institute of Technology"
124.0;6.0;71.0;91.1;"National University of Singapore (NUS)"
208.0;7.0;140.0;90.7;"University of Oxford"
208.0;8.0;140.0;90.1;"Imperial College London"
257.0;9.0;213.0;88.5;"Harvard University"
100.0;14.0;71.0;86.7;"The University of Tokyo"
124.0;10.0;71.0;87.5;"Nanyang Technological University, Singapore (NTU)"
94.0;11.0;71.0;87.1;"The Hong Kong University of Science and Technology"
87.0;12.0;71.0;86.8;"Tsinghua University"
257.0;13.0;213.0;86.8;"University of California, Los Angeles (UCLA)"
257.0;15.0;213.0;86.3;"California Institute of Technology (Caltech)"
257.0;16.0;213.0;86.2;"Georgia Institute of Technology"
257.0;17.0;213.0;85.4;"Princeton University"
205.0;18.0;140.0;84.9;"EPFL (Ecole Polytechnique Fédérale de Lausanne)"
106.0;19.0;71.0;84.8;"Seoul National University"
128.0;20.0;71.0;84.3;"National Taiwan University (NTU)"
257.0;21.0;213.0;84.0;"University of Illinois at Urbana-Champaign"
257.0;22.0;213.0;83.3;"University of Texas at Austin"
222.0;23.0;213.0;82.9;"University of Toronto"
106.0;24.0;71.0;82.8;"KAIST - Korea Advanced Institute of Science & Technology"
100.0;25.0;71.0;82.7;"Tokyo Institute of Technology"
257.0;26.0;213.0;82.5;"University of Michigan"
94.0;27.0;71.0;82.4;"The University of Hong Kong"
319.0;28.0;317.0;82.2;"The University of Melbourne"
319.0;29.0;317.0;82.1;"The Australian National University"
162.0;30.0;140.0;81.9;"Technische Universität München"
203.0;31.0;140.0;81.0;"KTH Royal Institute of Technology"
257.0;32.0;213.0;80.9;"Carnegie Mellon University"
319.0;33.0;317.0;80.8;"The University of New South Wales"
100.0;34.0;71.0;80.7;"Kyoto University"
87.0;35.0;71.0;80.7;"Shanghai Jiao Tong University"
87.0;36.0;71.0;80.6;"Peking University"
187.0;37.0;140.0;80.4;"Delft University of Technology"
174.0;38.0;140.0;80.1;"Politecnico di Torino"
94.0;39.0;71.0;80.1;"The Chinese University of Hong Kong"
208.0;40.0;140.0;80.1;"The University of Manchester"
174.0;41.0;140.0;79.8;"Politecnico di Milano"
96.0;42.0;71.0;79.1;"Indian Institute of Technology Delhi (IITD)"
257.0;43.0;213.0;78.9;"Cornell University"
319.0;44.0;317.0;78.9;"The University of Sydney"
257.0;45.0;213.0;78.6;"Purdue University"
162.0;46.0;140.0;78.6;"RWTH Aachen University"
257.0;47.0;213.0;78.4;"University of California, San Diego (UCSD)"
152.0;48.0;140.0;78.2;"Technical University of Denmark"
96.0;49.0;71.0;77.2;"Indian Institute of Technology Bombay (IITB)"
257.0;50.0;213.0;77.2;"University of Southern California"
152.0;51.0;140.0;0.0;"Aalborg University"
203.0;52.0;140.0;0.0;"Chalmers University of Technology"
94.0;53.0;71.0;0.0;"City University of Hong Kong"
257.0;54.0;213.0;0.0;"Columbia University"
187.0;55.0;140.0;0.0;"Eindhoven University of Technology"
87.0;56.0;71.0;0.0;"Fudan University"
96.0;57.0;71.0;0.0;"Indian Institute of Science"
96.0;58.0;71.0;0.0;"Indian Institute of Technology, Kharagpur"
96.0;59.0;71.0;0.0;"Indian Institute of Technology, Madras (IITM)"
146.0;60.0;140.0;0.0;"KU Leuven"
162.0;61.0;140.0;0.0;"Karlsruhe Institute of Technology (KIT)"
106.0;62.0;71.0;0.0;"Korea University"
203.0;63.0;140.0;0.0;"Lund University"
222.0;64.0;213.0;0.0;"McGill University"
134.0;65.0;71.0;0.0;"Middle East Technical University"
319.0;66.0;317.0;0.0;"Monash University"
128.0;67.0;71.0;0.0;"National Cheng Kung University"
128.0;68.0;71.0;0.0;"National Chiao Tung University"
166.0;69.0;140.0;0.0;"National Technical University of Athens"
128.0;70.0;71.0;0.0;"National Tsing Hua University"
100.0;71.0;71.0;0.0;"Osaka University"
257.0;72.0;213.0;0.0;"Pennsylvania State University"
106.0;73.0;71.0;0.0;"Pohang University of Science And Technology (POSTECH)"
319.0;74.0;317.0;0.0;"RMIT University"
106.0;75.0;71.0;0.0;"Sungkyunkwan University"
162.0;76.0;140.0;0.0;"Technische Universität Berlin"
162.0;77.0;140.0;0.0;"Technische Universität Darmstadt"
162.0;78.0;140.0;0.0;"Technische Universität Dresden"
143.0;79.0;140.0;0.0;"Vienna University of Technology"
257.0;80.0;213.0;0.0;"Texas A&M University"
94.0;81.0;71.0;0.0;"The Hong Kong Polytechnic University"
319.0;82.0;317.0;0.0;"The University of Queensland"
100.0;83.0;71.0;0.0;"Tohoku University"
208.0;84.0;140.0;0.0;"UCL (University College London)"
353.0;85.0;349.0;0.0;"Universidade de São Paulo (USP)"
353.0;86.0;349.0;0.0;"Universidade estadual de Campinas(Unicamp)"
199.0;87.0;140.0;0.0;"Universitat Politècnica de Catalunya "
162.0;88.0;140.0;0.0;"Universität Stuttgart"
113.0;89.0;71.0;0.0;"Universiti Malaya (UM)"
222.0;90.0;213.0;0.0;"University of British Columbia"
257.0;91.0;213.0;0.0;"UC Irvine - Extension, English and Certificates for Internationals"
257.0;92.0;213.0;0.0;"University of California, Santa Barbara (UCSB)"
208.0;93.0;140.0;0.0;"University of Edinburgh"
257.0;94.0;213.0;0.0;"University of Pennsylvania"
208.0;95.0;140.0;0.0;"University of Southampton"
222.0;96.0;213.0;0.0;"University of Waterloo"
257.0;97.0;213.0;0.0;"University of Wisconsin-Madison"
257.0;98.0;213.0;0.0;"Virginia Tech"
257.0;99.0;213.0;0.0;"Yale University"
106.0;100.0;71.0;0.0;"Yonsei University"
87.0;101.0;71.0;0.0;"Zhejiang University"
156.0;102.0;140.0;0.0;"Aalto University"
87.0;103.0;71.0;0.0;"Beijing Institute of Technology"
257.0;104.0;213.0;0.0;"Duke University"
158.0;105.0;140.0;0.0;"Grenoble INP, Grenoble Institute of Technology"
106.0;106.0;71.0;0.0;"Hanyang University"
96.0;107.0;71.0;0.0;"Indian Institute of Technology Kanpur (IITK)"
257.0;108.0;213.0;0.0;"Johns Hopkins University"
77.0;109.0;71.0;0.0;"King Fahd University of Petroleum & Minerals"
100.0;110.0;71.0;0.0;"Kyushu University"
203.0;111.0;140.0;0.0;"Linköping University"
100.0;112.0;71.0;0.0;"Nagoya University"
128.0;113.0;71.0;0.0;"National Central University"
128.0;114.0;71.0;0.0;"National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)"
257.0;115.0;213.0;0.0;"Northwestern University"
257.0;116.0;213.0;0.0;"Ohio State University"
199.0;117.0;140.0;0.0;"Politécnica de Madrid"
319.0;118.0;317.0;0.0;"Queensland University of Technology (QUT)"
257.0;119.0;213.0;0.0;"Rice University"
174.0;120.0;140.0;0.0;"Sapienza University of Rome"
319.0;121.0;317.0;0.0;"The University of Adelaide"
334.0;122.0;317.0;0.0;"The University of Auckland"
208.0;123.0;140.0;0.0;"The University of Nottingham"
208.0;124.0;140.0;0.0;"The University of Sheffield"
319.0;125.0;317.0;0.0;"The University of Western Australia"
241.0;126.0;213.0;0.0;"Universidad Nacional Autónoma de México (UNAM)"
199.0;127.0;140.0;0.0;"Universitat Politècnica de València"
353.0;128.0;349.0;0.0;"Universidade Federal do Rio de Janeiro"
174.0;129.0;140.0;0.0;"University of Padua"
174.0;130.0;140.0;0.0;"University of Bologna"
222.0;131.0;213.0;0.0;"Université de Montréal "
113.0;132.0;71.0;0.0;"Universiti Kebangsaan Malaysia (UKM)"
113.0;133.0;71.0;0.0;"Universiti Putra Malaysia (UPM)"
113.0;134.0;71.0;0.0;"Universiti Sains Malaysia (USM)"
113.0;135.0;71.0;0.0;"Universiti Teknologi Malaysia (UTM)"
171.0;136.0;140.0;0.0;"University College Cork"
171.0;137.0;140.0;0.0;"University College Dublin"
222.0;138.0;213.0;0.0;"University of Alberta"
208.0;139.0;140.0;0.0;"University of Bristol"
257.0;140.0;213.0;0.0;"University of California, Davis"
257.0;141.0;213.0;0.0;"University of Florida"
208.0;142.0;140.0;0.0;"University of Glasgow"
257.0;143.0;213.0;0.0;"University of Maryland, College Park"
257.0;144.0;213.0;0.0;"University of Minnesota"
319.0;145.0;317.0;0.0;"The University of Newcastle, Australia (UoN)"
87.0;146.0;71.0;0.0;"University of Science and Technology of China"
208.0;147.0;140.0;0.0;"University of Strathclyde"
257.0;148.0;213.0;0.0;"University of Washington"
203.0;149.0;140.0;0.0;"Uppsala University"
100.0;150.0;71.0;0.0;"Waseda University"
87.0;151.0;71.0;0.0;"Xi'an Jiaotong University"
166.0;152.0;140.0;0.0;"Aristotle University of Thessaloniki"
257.0;153.0;213.0;0.0;"Arizona State University"
134.0;154.0;71.0;0.0;"Bilkent University"
134.0;155.0;71.0;0.0;"Bogazici University"
257.0;156.0;213.0;0.0;"Boston University"
131.0;157.0;71.0;0.0;"Chulalongkorn University"
319.0;158.0;317.0;0.0;"Curtin University"
151.0;159.0;140.0;0.0;"Czech Technical University In Prague"
158.0;160.0;140.0;0.0;"Ecole Polytechnique"
87.0;161.0;71.0;0.0;"Harbin Institute of Technology"
100.0;162.0;71.0;0.0;"Hokkaido University"
87.0;163.0;71.0;0.0;"Huazhong University of Science and Technology"
96.0;164.0;71.0;0.0;"Indian Institute of Technology Roorkee (IITR)"
134.0;165.0;71.0;0.0;"Istanbul Technical University"
100.0;166.0;71.0;0.0;"Keio University"
208.0;167.0;140.0;0.0;"King's College London (KCL)"
106.0;168.0;71.0;0.0;"Kyung Hee University"
208.0;169.0;140.0;0.0;"Loughborough University"
222.0;170.0;213.0;0.0;"McMaster University"
87.0;171.0;71.0;0.0;"Nanjing University"
128.0;172.0;71.0;0.0;"National Chung Hsing University"
128.0;173.0;71.0;0.0;"National Sun Yat-sen University"
257.0;174.0;213.0;0.0;"New York University (NYU)"
257.0;175.0;213.0;0.0;"North Carolina State University"
189.0;176.0;140.0;0.0;"Norwegian University of Science And Technology"
208.0;177.0;140.0;0.0;"Queen's University of Belfast"
257.0;178.0;213.0;0.0;"Rensselaer Polytechnic Institute"
87.0;179.0;71.0;0.0;"Southeast University"
156.0;180.0;140.0;0.0;"Tampere University of Technology "
74.0;181.0;71.0;0.0;"Technion - Israel Institute of Technology"
143.0;182.0;140.0;0.0;"Graz University of Technology"
208.0;183.0;140.0;0.0;"The University of Warwick"
87.0;184.0;71.0;0.0;"Tianjin University"
171.0;185.0;140.0;0.0;"Trinity College Dublin"
199.0;186.0;140.0;0.0;"Universidad Carlos III de Madrid"
199.0;187.0;140.0;0.0;"Universidad de Sevilla"
174.0;188.0;140.0;0.0;"Università degli Studi di Roma - Tor Vergata"
174.0;189.0;140.0;0.0;"University of Pisa"
199.0;190.0;140.0;0.0;"University of Barcelona"
162.0;191.0;140.0;0.0;"Friedrich-Alexander-Universität Erlangen-Nürnberg"
162.0;192.0;140.0;0.0;"Universität Freiburg"
146.0;193.0;140.0;0.0;"Université Catholique de Louvain (UCL)"
208.0;194.0;140.0;0.0;"University of Birmingham"
222.0;195.0;213.0;0.0;"University of Calgary"
257.0;196.0;213.0;0.0;"University of Colorado Boulder"
146.0;197.0;140.0;0.0;"University of Ghent"
191.0;198.0;140.0;0.0;"University of Porto"
208.0;199.0;140.0;0.0;"University of Surrey"
319.0;200.0;317.0;0.0;"University of Technology, Sydney"
187.0;201.0;140.0;0.0;"University of Twente"
190.0;202.0;140.0;0.0;"Warsaw University of Technology"
